image,id,choice,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9,class_10,class_11,class_12,class_13,city,height,width,r_mean,g_mean,b_mean,r_std,g_std,b_std,md5,label
0.jpg,0,panel,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Астрахань,957,1280,0.6641905842143543,0.6628052520642528,0.6498288603581451,0.24808304622949884,0.2483386793834389,0.2590962815092113,5d4b35aaa33358623fe66153744bd01a,"[{""x"": 42.13333333333333, ""y"": 32.79857397504456, ""width"": 13.866666666666667, ""height"": 9.982174688057041, ""rotation"": 0, ""rectanglelabels"": [""panel""], ""original_width"": 1280, ""original_height"": 957}]"
1.jpg,1,right,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Астрахань,957,1280,0.5967169060022127,0.6057511377722462,0.5808306249615837,0.2556811874990273,0.2522270017140795,0.2582672231706076,9f98baecf558334f86e320d092a41ffa,
2.jpg,2,interior,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Астрахань,957,1280,0.6005265734167227,0.5956643162097652,0.5819353044901349,0.3167342518697441,0.3235280461711397,0.3324384751993125,947d2f3d3b7089285caacda49cad7438,"[{""x"": 40.666666666666664, ""y"": 49.19786096256684, ""width"": 14.133333333333333, ""height"": 15.508021390374331, ""rotation"": 0, ""rectanglelabels"": [""rubbish""], ""original_width"": 1280, ""original_height"": 957}]"
3.jpg,3,panel,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Астрахань,960,1280,0.4643915760314544,0.4783197891135621,0.4876752706290851,0.18972227965221453,0.18344382895466707,0.17820172684429686,f967b7f08a2946d59c3e18cd4f9e1e32,"[{""x"": 48, ""y"": 34.4582593250444, ""width"": 16.533333333333335, ""height"": 12.966252220248668, ""rotation"": 0, ""rectanglelabels"": [""panel""], ""original_width"": 1280, ""original_height"": 960}]"
4.jpg,4,interior,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Астрахань,960,1280,0.4506284626480797,0.4625210950265522,0.4655848364736521,0.2099263494669585,0.22231217204440765,0.2287400485113951,9cc3f11f235406683586dae8ed07af9b,
5.jpg,5,panel,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Астрахань,720,1280,0.6215107230392154,0.6135073231549565,0.61374900854439,0.13887044830659367,0.14086682189293678,0.14151246715647767,8736e8f273ec40c225f262e4f24911fb,"[{""x"": 41.2, ""y"": 34.12322274881517, ""width"": 13.733333333333333, ""height"": 13.270142180094787, ""rotation"": 0, ""rectanglelabels"": [""panel""], ""original_width"": 1280, ""original_height"": 720}]"
6.jpg,6,interior,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Астрахань,720,1280,0.5564198197508169,0.5491756025326799,0.5489409339256532,0.3003636137957247,0.3134049976564864,0.3180599513528582,f3deeb83f667b7e89b7edbb23534fe29,
7.jpg,7,panel,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Астрахань,960,1280,0.5236949454912173,0.5378106394250409,0.5457191489225899,0.18636636977799168,0.17799362285580492,0.17242068274082056,df5077bea133313db0fc8633af9c4f4c,"[{""x"": 41.86666666666667, ""y"": 30.72824156305506, ""width"": 18.133333333333333, ""height"": 13.143872113676732, ""rotation"": 0, ""rectanglelabels"": [""panel""], ""original_width"": 1280, ""original_height"": 960}]"
8.jpg,8,front,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Астрахань,774,1032,0.7247181198261011,0.6772928643444238,0.6146185566949572,0.23264816332344546,0.26756076920866084,0.29080186877487296,e40853dd27326044151fd96ac241e4f0,
9.jpg,9,panel,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Астрахань,774,1032,0.5372341101374546,0.5045298092395625,0.4970328177943053,0.2317452854801405,0.2290179260910249,0.2210463947449322,2fa4c221caaf38c183295a7ef6576b69,"[{""x"": 37.46666666666667, ""y"": 18.117229129662523, ""width"": 18.4, ""height"": 14.209591474245116, ""rotation"": 0, ""rectanglelabels"": [""panel""], ""original_width"": 1032, ""original_height"": 774}]"
